PrimaryDiagnosisCode,PrimaryDiagnosisDescription,NumberOfDiagnoses
D14.3,"Benign neoplasm of bronchus and lung",135
F34.0,"Cyclothymic disorder",135
H81.03,""M",135
O24.434,""Gestational diabetes mellitus in the puerperium",135
C91.02,""Acute lymphoblastic leukemia",135
M11.022,""Hydroxyapatite deposition disease",135
F40.01,"Agoraphobia with panic disorder",135
Z98.61,"Coronary angioplasty status",135
F20.81,"Schizophreniform disorder",135
C62,"Malignant neoplasm of testis",135
C15,"Malignant neoplasm of esophagus",135
M90.83,""Osteopathy in diseases classified elsewhere",135
D19.1,"Benign neoplasm of mesothelial tissue of peritoneum",135
Z45.01,"Encounter for adjustment and management of cardiac pacemaker",135
C76.41,"Malignant neoplasm of right upper limb",135
M50.1,"Cervical disc disorder with radiculopathy",135
H15,"Disorders of sclera",135
G50,"Disorders of trigeminal nerve",135
O99.61,"Diseases of the digestive system complicating pregnancy",135
F41.0,"Panic disorder [episodic paroxysmal anxiety] without agoraphobia",135
C32.2,"Malignant neoplasm of subglottis",135
I97.411,"Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a cardiac bypass",135
J17,"Pneumonia in diseases classified elsewhere",135
E88.0,""Disorders of plasma-protein metabolism",135
E08.641,"Diabetes mellitus due to underlying condition with hypoglycemia with coma",135
F64.2,"Gender identity disorder of childhood",135
M1A.32,""Chronic gout due to renal impairment",135
G32.81,"Cerebellar ataxia in diseases classified elsewhere",135
H47.621,""Disorders of visual cortex in (due to) inflammatory disorders",135
C91.62,""Prolymphocytic leukemia of T-cell type",135
D30.02,"Benign neoplasm of left kidney",135
D38.1,""Neoplasm of uncertain behavior of trachea",135
D30.3,"Benign neoplasm of bladder",135
C53.0,"Malignant neoplasm of endocervix",135
M50.12,""Cervical disc disorder with radiculopathy",135
D12.5,"Benign neoplasm of sigmoid colon",135
D17.6,"Benign lipomatous neoplasm of spermatic cord",135
C34.12,""Malignant neoplasm of upper lobe",135
M1A.361,""Chronic gout due to renal impairment",135
M1A.322,""Chronic gout due to renal impairment",135
K50.81,"Crohn's disease of both small and large intestine with complications",135
O98.612,""Protozoal diseases complicating pregnancy",134
K50.113,"Crohn's disease of large intestine with fistula",134
M06.342,""Rheumatoid nodule",134
M10.37,""Gout due to renal impairment",134
C79.61,"Secondary malignant neoplasm of right ovary",134
C68.1,"Malignant neoplasm of paraurethral glands",134
M05.341,"Rheumatoid heart disease with rheumatoid arthritis of right hand",134
A83.6,"Rocio virus disease",134
H11.412,""Vascular abnormalities of conjunctiva",134
C03.1,"Malignant neoplasm of lower gum",134
F31.72,""Bipolar disorder",134
E11.00,"Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)",134
M84.563,""Pathological fracture in neoplastic disease",134
D14,"Benign neoplasm of middle ear and respiratory system",134
O99.513,""Diseases of the respiratory system complicating pregnancy",134
P29.81,"Cardiac arrest of newborn",134
E35,"Disorders of endocrine glands in diseases classified elsewhere",134
B95.0,""Streptococcus",134
O46.021,""Antepartum hemorrhage with disseminated intravascular coagulation",134
G31.82,"Leigh's disease",134
C67.3,"Malignant neoplasm of anterior wall of bladder",134
E10.62,"Type 1 diabetes mellitus with skin complications",134
D20.1,"Benign neoplasm of soft tissue of peritoneum",134
C09.0,"Malignant neoplasm of tonsillar fossa",134
F13.15,""Sedative",134
M84.57,""Pathological fracture in neoplastic disease",134
M10.351,""Gout due to renal impairment",134
C92.1,""Chronic myeloid leukemia",134
C16.3,"Malignant neoplasm of pyloric antrum",134
M90.512,""Osteonecrosis in diseases classified elsewhere",134
C37,"Malignant neoplasm of thymus",134
C11.2,"Malignant neoplasm of lateral wall of nasopharynx",134
N46.025,"Azoospermia due to systemic disease",134
M06.372,""Rheumatoid nodule",134
C76.52,"Malignant neoplasm of left lower limb",134
D17.22,"Benign lipomatous neoplasm of skin and subcutaneous tissue of left arm",134
O24.4,"Gestational diabetes mellitus",134
H47.13,"Papilledema associated with retinal disorder",134
E23.2,"Diabetes insipidus",134
F90.2,""Attention-deficit hyperactivity disorder",134
I97.810,"Intraoperative cerebrovascular infarction during cardiac surgery",134
B08.3,"Erythema infectiosum [fifth disease]",134
M90.6,"Osteitis deformans in neoplastic diseases",134
I35,"Nonrheumatic aortic valve disorders",134
C57.11,"Malignant neoplasm of right broad ligament",134
E32,"Diseases of thymus",134
H16.443,""Deep vascularization of cornea",134
B38.1,"Chronic pulmonary coccidioidomycosis",134
J81.0,"Acute pulmonary edema",134
M88,"Osteitis deformans [Paget's disease of bone]",134
D20.0,"Benign neoplasm of soft tissue of retroperitoneum",134
M05.371,"Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot",134
K91.83,"Postprocedural hepatorenal syndrome",134
D16.2,"Benign neoplasm of long bones of lower limb",134
Z11.0,"Encounter for screening for intestinal infectious diseases",134
C75.0,"Malignant neoplasm of parathyroid gland",134
F64,"Gender identity disorders",134
B76,"Hookworm diseases",134
B96.5,"Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere",134
F40.02,"Agoraphobia without panic disorder",134
M63.852,""Disorders of muscle in diseases classified elsewhere",134
M49.81,""Spondylopathy in diseases classified elsewhere",134
K71.11,""Toxic liver disease with hepatic necrosis",134
M12.151,""Kaschin-Beck disease",134
M02.361,""Reiter's disease",134
C40.11,"Malignant neoplasm of short bones of right upper limb",134
Z04.6,""Encounter for general psychiatric examination",134
J95.1,"Acute pulmonary insufficiency following thoracic surgery",134
M90.871,""Osteopathy in diseases classified elsewhere",134
F81.81,"Disorder of written expression",134
F31.1,""Bipolar disorder",134
E11.52,"Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene",134
M05.411,"Rheumatoid myopathy with rheumatoid arthritis of right shoulder",134
C79.52,"Secondary malignant neoplasm of bone marrow",134
K50.111,"Crohn's disease of large intestine with rectal bleeding",134
F44.5,"Conversion disorder with seizures or convulsions",134
M11.05,""Hydroxyapatite deposition disease",134
C67.1,"Malignant neoplasm of dome of bladder",134
O98.71,"Human immunodeficiency virus [HIV] disease complicating pregnancy",134
C18.7,"Malignant neoplasm of sigmoid colon",134
F13.180,""Sedative",134
F31.12,""Bipolar disorder",133
K55,"Vascular disorders of intestine",133
F31.11,""Bipolar disorder",133
O99.62,"Diseases of the digestive system complicating childbirth",133
C49.0,""Malignant neoplasm of connective and soft tissue of head",133
F31.74,""Bipolar disorder",133
M90.67,""Osteitis deformans in neoplastic diseases",133
Q60.3,""Renal hypoplasia",133
Z13.88,"Encounter for screening for disorder due to exposure to contaminants",133
F16.180,"Hallucinogen abuse with hallucinogen-induced anxiety disorder",133
O08.5,"Metabolic disorders following an ectopic and molar pregnancy",133
P08,"Disorders of newborn related to long gestation and high birth weight",133
B57.41,"Meningitis in Chagas' disease",133
D16.11,"Benign neoplasm of short bones of right upper limb",133
Z45.02,"Encounter for adjustment and management of automatic implantable cardiac defibrillator",133
H26.213,""Cataract with neovascularization",133
C75.1,"Malignant neoplasm of pituitary gland",133
J95,""Intraoperative and postprocedural complications and disorders of respiratory system",133
F18.180,"Inhalant abuse with inhalant-induced anxiety disorder",133
O10.212,""Pre-existing hypertensive chronic kidney disease complicating pregnancy",133
M12.161,""Kaschin-Beck disease",133
M06.25,""Rheumatoid bursitis",133
C14.2,"Malignant neoplasm of Waldeyer's ring",133
I27.82,"Chronic pulmonary embolism",133
S25.412,"Minor laceration of left pulmonary blood vessels",133
D13.2,"Benign neoplasm of duodenum",133
C72.21,"Malignant neoplasm of right olfactory nerve",133
C06.0,"Malignant neoplasm of cheek mucosa",133
H74.13,""Adhesive middle ear disease",133
C31,"Malignant neoplasm of accessory sinuses",133
F33.4,""Major depressive disorder",133
M05.742,"Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement",133
D38.0,"Neoplasm of uncertain behavior of larynx",133
C15.3,"Malignant neoplasm of upper third of esophagus",133
M05.572,"Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot",133
M84.52,""Pathological fracture in neoplastic disease",133
E10.33,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy",133
Q43.1,"Hirschsprung's disease",133
F16.183,"Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)",133
I26.01,"Septic pulmonary embolism with acute cor pulmonale",133
E11.4,"Type 2 diabetes mellitus with neurological complications",133
C38.0,"Malignant neoplasm of heart",133
F25,"Schizoaffective disorders",133
C69.31,"Malignant neoplasm of right choroid",133
A48.2,"Nonpneumonic Legionnaires' disease [Pontiac fever]",133
M01.X42,"Direct infection of left hand in infectious and parasitic diseases classified elsewhere",133
E08.22,"Diabetes mellitus due to underlying condition with diabetic chronic kidney disease",133
M63.89,""Disorders of muscle in diseases classified elsewhere",133
I26.92,"Saddle embolus of pulmonary artery without acute cor pulmonale",133
M05.512,"Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder",133
C32,"Malignant neoplasm of larynx",133
B96.6,"Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere",133
C70.0,"Malignant neoplasm of cerebral meninges",133
F45.22,"Body dysmorphic disorder",133
D16.21,"Benign neoplasm of long bones of right lower limb",133
K21,"Gastro-esophageal reflux disease",133
M01.X2,"Direct infection of elbow in infectious and parasitic diseases classified elsewhere",133
Z08,"Encounter for follow-up examination after completed treatment for malignant neoplasm",133
C91.50,"Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission",133
C69.52,"Malignant neoplasm of left lacrimal gland and duct",133
C94.3,"Mast cell leukemia",133
H61.193,""Noninfective disorders of pinna",133
M90.652,""Osteitis deformans in neoplastic diseases",133
B96.3,"Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere",133
M90.8,"Osteopathy in diseases classified elsewhere",133
K08.124,""Complete loss of teeth due to periodontal diseases",133
M05.451,"Rheumatoid myopathy with rheumatoid arthritis of right hip",133
K14,"Diseases of tongue",133
C08.0,"Malignant neoplasm of submandibular gland",133
Z12.0,"Encounter for screening for malignant neoplasm of stomach",133
D35.3,"Benign neoplasm of craniopharyngeal duct",133
M11.072,""Hydroxyapatite deposition disease",133
B33.4,"Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]",133
F07,"Personality and behavioral disorders due to known physiological condition",133
M12.19,""Kaschin-Beck disease",133
M05.16,"Rheumatoid lung disease with rheumatoid arthritis of knee",133
H47.642,""Disorders of visual cortex in (due to) vascular disorders",133
M24.23,""Disorder of ligament",133
C91.40,"Hairy cell leukemia not having achieved remission",133
M01.X51,"Direct infection of right hip in infectious and parasitic diseases classified elsewhere",133
O07.36,"Cardiac arrest following failed attempted termination of pregnancy",133
K04,"Diseases of pulp and periapical tissues",132
E10.2,"Type 1 diabetes mellitus with kidney complications",132
E10.21,"Type 1 diabetes mellitus with diabetic nephropathy",132
M01.X72,"Direct infection of left ankle and foot in infectious and parasitic diseases classified elsewhere",132
M06.22,""Rheumatoid bursitis",132
Q21,"Congenital malformations of cardiac septa",132
M05.342,"Rheumatoid heart disease with rheumatoid arthritis of left hand",132
C91.60,"Prolymphocytic leukemia of T-cell type not having achieved remission",132
C91.51,""Adult T-cell lymphoma/leukemia (HTLV-1-associated)",132
M10.362,""Gout due to renal impairment",132
C16.1,"Malignant neoplasm of fundus of stomach",132
Q25.72,"Congenital pulmonary arteriovenous malformation",132
C54.2,"Malignant neoplasm of myometrium",132
M90.51,""Osteonecrosis in diseases classified elsewhere",132
B57.2,"Chagas' disease (chronic) with heart involvement",132
M11.012,""Hydroxyapatite deposition disease",132
I25.42,"Coronary artery dissection",132
E08.35,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy",132
F16.151,"Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations",132
Z45.010,"Encounter for checking and testing of cardiac pacemaker pulse generator [battery]",132
B37.1,"Pulmonary candidiasis",132
Q21.4,"Aortopulmonary septal defect",132
C25,"Malignant neoplasm of pancreas",132
D16.6,"Benign neoplasm of vertebral column",132
K55.1,"Chronic vascular disorders of intestine",132
M06.03,""Rheumatoid arthritis without rheumatoid factor",132
C14.8,""Malignant neoplasm of overlapping sites of lip",132
C03.0,"Malignant neoplasm of upper gum",132
Z13.84,"Encounter for screening for dental disorders",132
E74.04,"McArdle disease",132
C76.2,"Malignant neoplasm of abdomen",132
M05.251,"Rheumatoid vasculitis with rheumatoid arthritis of right hip",132
M05.771,"Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement",132
D47.Z1,"Post-transplant lymphoproliferative disorder (PTLD)",132
Z45.2,"Encounter for adjustment and management of vascular access device",132
C74.1,"Malignant neoplasm of medulla of adrenal gland",132
M24.231,""Disorder of ligament",132
K55.0,"Acute vascular disorders of intestine",132
J70.2,"Acute drug-induced interstitial lung disorders",132
M84.572,""Pathological fracture in neoplastic disease",132
M05.76,"Rheumatoid arthritis with rheumatoid factor of knee without organ or systems involvement",132
C92.50,""Acute myelomonocytic leukemia",132
E11.64,"Type 2 diabetes mellitus with hypoglycemia",132
E09.610,"Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy",132
B57.32,"Megacolon in Chagas' disease",132
M11.041,""Hydroxyapatite deposition disease",132
I97.81,"Intraoperative cerebrovascular infarction",132
M02.36,""Reiter's disease",132
Q61,"Cystic kidney disease",132
F91,"Conduct disorders",132
O10.311,""Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy",132
M05.712,"Rheumatoid arthritis with rheumatoid factor of left shoulder without organ or systems involvement",132
C67,"Malignant neoplasm of bladder",132
C72.22,"Malignant neoplasm of left olfactory nerve",132
P05,"Disorders of newborn related to slow fetal growth and fetal malnutrition",132
C08.1,"Malignant neoplasm of sublingual gland",132
F32.5,""Major depressive disorder",132
C54,"Malignant neoplasm of corpus uteri",132
E10.52,"Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene",132
G73.7,"Myopathy in diseases classified elsewhere",132
D16.5,"Benign neoplasm of lower jaw bone",132
C92.40,""Acute promyelocytic leukemia",132
D31.21,"Benign neoplasm of right retina",132
C06.1,"Malignant neoplasm of vestibule of mouth",132
M63.871,""Disorders of muscle in diseases classified elsewhere",132
T80.1,""Vascular complications following infusion",132
C71.4,"Malignant neoplasm of occipital lobe",132
M90.54,""Osteonecrosis in diseases classified elsewhere",132
I25.110,"Atherosclerotic heart disease of native coronary artery with unstable angina pectoris",132
O10.31,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy",132
C71,"Malignant neoplasm of brain",132
C31.0,"Malignant neoplasm of maxillary sinus",132
I51.3,""Intracardiac thrombosis",132
H11.411,""Vascular abnormalities of conjunctiva",132
M90.811,""Osteopathy in diseases classified elsewhere",132
E11.0,"Type 2 diabetes mellitus with hyperosmolarity",132
M63.85,""Disorders of muscle in diseases classified elsewhere",132
M05.22,"Rheumatoid vasculitis with rheumatoid arthritis of elbow",132
M11.061,""Hydroxyapatite deposition disease",131
H47.43,"Disorders of optic chiasm in (due to) vascular disorders",131
P26,"Pulmonary hemorrhage originating in the perinatal period",131
O04.82,"Renal failure following (induced) termination of pregnancy",131
D12.7,"Benign neoplasm of rectosigmoid junction",131
C16.0,"Malignant neoplasm of cardia",131
D12.1,"Benign neoplasm of appendix",131
E10.331,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema",131
C78.01,"Secondary malignant neoplasm of right lung",131
M06.042,""Rheumatoid arthritis without rheumatoid factor",131
M90.86,""Osteopathy in diseases classified elsewhere",131
Z12.4,"Encounter for screening for malignant neoplasm of cervix",131
E11.34,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy",131
C69.6,"Malignant neoplasm of orbit",131
D71,"Functional disorders of polymorphonuclear neutrophils",131
I12,"Hypertensive chronic kidney disease",131
F50,"Eating disorders",131
F14.15,"Cocaine abuse with cocaine-induced psychotic disorder",131
G07,"Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere",131
C91.A0,"Mature B-cell leukemia Burkitt-type not having achieved remission",131
M06.212,""Rheumatoid bursitis",131
H05,"Disorders of orbit",131
L75,"Apocrine sweat disorders",131
D30.4,"Benign neoplasm of urethra",131
M83.4,"Aluminum bone disease",131
I21.21,"ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery",131
T43,""Poisoning by",131
M06.031,""Rheumatoid arthritis without rheumatoid factor",131
E11.5,"Type 2 diabetes mellitus with circulatory complications",131
C69.22,"Malignant neoplasm of left retina",131
K71.2,"Toxic liver disease with acute hepatitis",131
J98.1,"Pulmonary collapse",131
F16,"Hallucinogen related disorders",131
O99.613,""Diseases of the digestive system complicating pregnancy",131
M05.37,"Rheumatoid heart disease with rheumatoid arthritis of ankle and foot",131
T46.3X4,""Poisoning by coronary vasodilators",131
S37.81,"Injury of adrenal gland",131
M26.63,"Articular disc disorder of temporomandibular joint",131
E71.0,"Maple-syrup-urine disease",131
F95.0,"Transient tic disorder",131
Q27.34,"Arteriovenous malformation of renal vessel",131
H94.02,""Acoustic neuritis in infectious and parasitic diseases classified elsewhere",131
D16.02,"Benign neoplasm of scapula and long bones of left upper limb",131
M63.862,""Disorders of muscle in diseases classified elsewhere",131
T43.3X,""Poisoning by",131
I69.323,"Fluency disorder following cerebral infarction",131
C91,"Lymphoid leukemia",131
D27.1,"Benign neoplasm of left ovary",131
E09.641,"Drug or chemical induced diabetes mellitus with hypoglycemia with coma",131
H67.1,""Otitis media in diseases classified elsewhere",131
D12.9,"Benign neoplasm of anus and anal canal",131
P54.4,"Neonatal adrenal hemorrhage",131
I79,""Disorders of arteries",131
M02.372,""Reiter's disease",131
F43.22,"Adjustment disorder with anxiety",131
M84.522,""Pathological fracture in neoplastic disease",131
M72,"Fibroblastic disorders",131
M51.04,""Intervertebral disc disorders with myelopathy",131
C92.61,"Acute myeloid leukemia with 11q23-abnormality in remission",131
M05.54,"Rheumatoid polyneuropathy with rheumatoid arthritis of hand",131
M24.271,""Disorder of ligament",131
G47.52,"REM sleep behavior disorder",131
H67,"Otitis media in diseases classified elsewhere",131
H28,"Cataract in diseases classified elsewhere",131
F31.7,""Bipolar disorder",131
C60.0,"Malignant neoplasm of prepuce",131
G30.0,"Alzheimer's disease with early onset",131
M05.25,"Rheumatoid vasculitis with rheumatoid arthritis of hip",131
D28.0,"Benign neoplasm of vulva",131
C38.8,""Malignant neoplasm of overlapping sites of heart",131
M1A.331,""Chronic gout due to renal impairment",131
M05.511,"Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder",131
H47.0,""Disorders of optic nerve",131
C69,"Malignant neoplasm of eye and adnexa",131
B95.3,"Streptococcus pneumoniae as the cause of diseases classified elsewhere",130
D19,"Benign neoplasm of mesothelial tissue",130
E09.00,"Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)",130
E08.44,"Diabetes mellitus due to underlying condition with diabetic amyotrophy",130
D35.2,"Benign neoplasm of pituitary gland",130
O29.121,""Cardiac failure due to anesthesia during pregnancy",130
C21.8,""Malignant neoplasm of overlapping sites of rectum",130
G47.21,""Circadian rhythm sleep disorder",130
T46.0X5,"Adverse effect of cardiac-stimulant glycosides and drugs of similar action",130
D16.3,"Benign neoplasm of short bones of lower limb",130
E11.41,"Type 2 diabetes mellitus with diabetic mononeuropathy",130
D40.11,"Neoplasm of uncertain behavior of right testis",130
O99.283,""Endocrine",130
S25.421,"Major laceration of right pulmonary blood vessels",130
A69.2,"Lyme disease",130
L12.2,"Chronic bullous disease of childhood",130
N16,"Renal tubulo-interstitial disorders in diseases classified elsewhere",130
C00,"Malignant neoplasm of lip",130
M84.551,""Pathological fracture in neoplastic disease",130
M84.541,""Pathological fracture in neoplastic disease",130
M05.29,"Rheumatoid vasculitis with rheumatoid arthritis of multiple sites",130
H61.1,"Noninfective disorders of pinna",130
C05,"Malignant neoplasm of palate",130
C11,"Malignant neoplasm of nasopharynx",130
Q25.71,"Coarctation of pulmonary artery",130
I26.90,"Septic pulmonary embolism without acute cor pulmonale",130
C71.6,"Malignant neoplasm of cerebellum",130
E11,"Type 2 diabetes mellitus",130
O98.63,"Protozoal diseases complicating the puerperium",130
I97.610,"Postprocedural hemorrhage and hematoma of a circulatory system organ or structure following a cardiac catheterization",130
M05.131,"Rheumatoid lung disease with rheumatoid arthritis of right wrist",130
F43.24,"Adjustment disorder with disturbance of conduct",130
M06.0,"Rheumatoid arthritis without rheumatoid factor",130
D38.4,"Neoplasm of uncertain behavior of thymus",130
H47.641,""Disorders of visual cortex in (due to) vascular disorders",130
C76.5,"Malignant neoplasm of lower limb",130
D73,"Diseases of spleen",130
I25.812,"Atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris",130
E10.630,"Type 1 diabetes mellitus with periodontal disease",130
C91.12,"Chronic lymphocytic leukemia of B-cell type in relapse",130
C88.3,"Immunoproliferative small intestinal disease",130
G05,""Encephalitis",130
C47.8,"Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system",130
C07,"Malignant neoplasm of parotid gland",130
D37.3,"Neoplasm of uncertain behavior of appendix",130
D37.032,"Neoplasm of uncertain behavior of the submandibular salivary glands",130
O24.43,"Gestational diabetes mellitus in the puerperium",130
O10.313,""Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy",130
E10.63,"Type 1 diabetes mellitus with oral complications",130
M90.53,""Osteonecrosis in diseases classified elsewhere",130
M05.242,"Rheumatoid vasculitis with rheumatoid arthritis of left hand",130
D57.0,"Hb-SS disease with crisis",130
F11.15,"Opioid abuse with opioid-induced psychotic disorder",130
F42,"Obsessive-compulsive disorder",130
D14.2,"Benign neoplasm of trachea",130
C31.3,"Malignant neoplasm of sphenoid sinus",130
M24.241,""Disorder of ligament",130
H26.211,""Cataract with neovascularization",130
E09.0,"Drug or chemical induced diabetes mellitus with hyperosmolarity",130
M05.522,"Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow",130
M31.31,"Wegener's granulomatosis with renal involvement",130
I37.0,"Nonrheumatic pulmonary valve stenosis",130
F84,"Pervasive developmental disorders",130
M84.5,"Pathological fracture in neoplastic disease",130
B57.3,"Chagas' disease (chronic) with digestive system involvement",130
T46,""Poisoning by",130
I25.731,"Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris with documented spasm",130
M06.032,""Rheumatoid arthritis without rheumatoid factor",130
M05.122,"Rheumatoid lung disease with rheumatoid arthritis of left elbow",130
F31.63,""Bipolar disorder",130
M10.352,""Gout due to renal impairment",130
O29.122,""Cardiac failure due to anesthesia during pregnancy",130
D89.81,"Graft-versus-host disease",130
C47.11,""Malignant neoplasm of peripheral nerves of right upper limb",130
M06.211,""Rheumatoid bursitis",130
H59.0,"Disorders of the eye following cataract surgery",130
E75.02,"Tay-Sachs disease",129
G55,"Nerve root and plexus compressions in diseases classified elsewhere",129
K87,""Disorders of gallbladder",129
B96.21,"Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157 as the cause of diseases classified elsewhere",129
C62.01,"Malignant neoplasm of undescended right testis",129
L92,"Granulomatous disorders of skin and subcutaneous tissue",129
G47.2,"Circadian rhythm sleep disorders",129
H47.42,"Disorders of optic chiasm in (due to) neoplasm",129
T46.0X6,"Underdosing of cardiac-stimulant glycosides and drugs of similar action",129
J09,"Influenza due to certain identified influenza viruses",129
M36.1,"Arthropathy in neoplastic disease",129
D36.15,"Benign neoplasm of peripheral nerves and autonomic nervous system of abdomen",129
K50.01,"Crohn's disease of small intestine with complications",129
D10.2,"Benign neoplasm of floor of mouth",129
C49.3,"Malignant neoplasm of connective and soft tissue of thorax",129
Z12.71,"Encounter for screening for malignant neoplasm of testis",129
J11.81,"Influenza due to unidentified influenza virus with encephalopathy",129
C92.10,""Chronic myeloid leukemia",129
C13.8,"Malignant neoplasm of overlapping sites of hypopharynx",129
E10.359,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema",129
E10.641,"Type 1 diabetes mellitus with hypoglycemia with coma",129
F31.75,""Bipolar disorder",129
M10.361,""Gout due to renal impairment",129
F24,"Shared psychotic disorder",129
O26.613,""Liver and biliary tract disorders in pregnancy",129
O9A.1,""Malignant neoplasm complicating pregnancy",129
C32.0,"Malignant neoplasm of glottis",129
O99.284,""Endocrine",129
M90.531,""Osteonecrosis in diseases classified elsewhere",129
K71.6,""Toxic liver disease with hepatitis",129
Z22.31,"Carrier of bacterial disease due to meningococci",129
B08.72,"Yaba pox virus disease",129
G47.22,""Circadian rhythm sleep disorder",129
D31,"Benign neoplasm of eye and adnexa",129
E09.321,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema",129
M02.332,""Reiter's disease",129
F10.15,"Alcohol abuse with alcohol-induced psychotic disorder",129
M06.351,""Rheumatoid nodule",129
D29.22,"Benign neoplasm of left testis",129
M63.861,""Disorders of muscle in diseases classified elsewhere",129
M02.32,""Reiter's disease",129
J84.03,"Idiopathic pulmonary hemosiderosis",129
E10.10,"Type 1 diabetes mellitus with ketoacidosis without coma",129
F16.14,"Hallucinogen abuse with hallucinogen-induced mood disorder",129
C70.1,"Malignant neoplasm of spinal meninges",129
M05.721,"Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement",129
M90.81,""Osteopathy in diseases classified elsewhere",129
D16.32,"Benign neoplasm of short bones of left lower limb",129
E79,"Disorders of purine and pyrimidine metabolism",129
M05.57,"Rheumatoid polyneuropathy with rheumatoid arthritis of ankle and foot",129
D41.3,"Neoplasm of uncertain behavior of urethra",129
Z01.810,"Encounter for preprocedural cardiovascular examination",129
T43.3X5,"Adverse effect of phenothiazine antipsychotics and neuroleptics",129
K50.811,"Crohn's disease of both small and large intestine with rectal bleeding",129
C00.8,"Malignant neoplasm of overlapping sites of lip",129
C40.3,"Malignant neoplasm of short bones of lower limb",129
O10.1,""Pre-existing hypertensive heart disease complicating pregnancy",129
A75.1,"Recrudescent typhus [Brill's disease]",129
M22.2,"Patellofemoral disorders",129
H67.3,""Otitis media in diseases classified elsewhere",129
D13.7,"Benign neoplasm of endocrine pancreas",129
M02.362,""Reiter's disease",129
M06.011,""Rheumatoid arthritis without rheumatoid factor",129
H11.41,"Vascular abnormalities of conjunctiva",128
M10.33,""Gout due to renal impairment",128
C75.2,"Malignant neoplasm of craniopharyngeal duct",128
F91.0,"Conduct disorder confined to family context",128
H30.81,"Harada's disease",128
C22,"Malignant neoplasm of liver and intrahepatic bile ducts",128
D30.2,"Benign neoplasm of ureter",128
M1A.342,""Chronic gout due to renal impairment",128
D31.51,"Benign neoplasm of right lacrimal gland and duct",128
H16.4,"Corneal neovascularization",128
F94.1,"Reactive attachment disorder of childhood",128
H05.1,"Chronic inflammatory disorders of orbit",128
C04,"Malignant neoplasm of floor of mouth",128
E71.5,"Peroxisomal disorders",128
D13.5,"Benign neoplasm of extrahepatic bile ducts",128
F43.25,"Adjustment disorder with mixed disturbance of emotions and conduct",128
M02.342,""Reiter's disease",128
K21.0,"Gastro-esophageal reflux disease with esophagitis",128
H47.64,"Disorders of visual cortex in (due to) vascular disorders",128
D29.32,"Benign neoplasm of left epididymis",128
C76.1,"Malignant neoplasm of thorax",128
C71.0,""Malignant neoplasm of cerebrum",128
M05.36,"Rheumatoid heart disease with rheumatoid arthritis of knee",128
H44,"Disorders of globe",128
D47.1,"Chronic myeloproliferative disease",128
D37.02,"Neoplasm of uncertain behavior of tongue",128
M05.422,"Rheumatoid myopathy with rheumatoid arthritis of left elbow",128
M01.X3,"Direct infection of wrist in infectious and parasitic diseases classified elsewhere",128
C31.8,"Malignant neoplasm of overlapping sites of accessory sinuses",128
M90.842,""Osteopathy in diseases classified elsewhere",128
N71.0,"Acute inflammatory disease of uterus",128
J95.2,"Acute pulmonary insufficiency following nonthoracic surgery",128
